aX,aY,aZ,gX,gY,gZ
0.032,-0.203,0.922,-5.493,28.381,-4.089
0.021,-0.216,0.92,-5.005,23.254,-4.211
-0.007,-0.229,0.938,-4.944,17.334,-3.967
-0.046,-0.234,0.956,-5.31,11.169,-4.456
-0.079,-0.242,0.978,-5.493,6.348,-4.883
-0.093,-0.226,0.985,-3.54,2.747,-4.7
-0.098,-0.209,0.986,0.671,1.16,-5.554
-0.082,-0.178,0.982,5.31,1.831,-7.08
-0.062,-0.152,0.993,9.277,2.93,-8.179
-0.032,-0.115,1,11.047,3.235,-8.606
-0.028,-0.104,1.007,9.338,1.465,-8.484
-0.014,-0.12,1.023,6.042,-0.244,-6.104
-0.104,-0.2,1.013,-11.475,0.244,12.024
-0.092,-0.203,1.022,-8.484,7.751,12.207
-0.057,-0.191,1.016,-5.066,16.846,13.794
-0.006,-0.178,0.993,-0.916,23.254,15.32
0.031,-0.176,0.969,1.831,24.475,16.296
0.041,-0.179,0.966,2.197,20.752,18.311
0.05,-0.19,0.966,2.197,14.893,20.386
0.033,-0.191,0.978,1.038,7.996,20.874
0.003,-0.183,1,-1.16,2.808,20.63
-0.038,-0.181,1.015,-1.77,0.61,21.423
-0.075,-0.164,1.032,-0.854,2.014,23.315
-0.108,-0.167,1.046,1.526,7.507,25.33
-0.126,-0.156,1.062,5.188,14.954,27.039
-0.125,-0.141,1.06,9.583,22.095,27.893
-0.097,-0.114,1.051,13.489,27.71,27.283
-0.061,-0.089,1.027,14.343,30.762,26.611
-0.028,-0.072,1.008,11.78,30.334,25.94
-0.004,-0.068,0.987,7.263,27.039,24.597
-0.009,-0.079,0.97,1.953,22.461,23.071
-0.026,-0.097,0.949,-2.991,18.555,21.545
-0.052,-0.103,0.941,-6.226,16.174,19.348
-0.079,-0.105,0.954,-7.568,15.442,17.456
-0.098,-0.103,0.971,-6.653,15.564,16.907
-0.104,-0.095,0.977,-3.723,15.625,17.578
-0.095,-0.081,0.983,0.122,15.259,17.395
-0.082,-0.068,0.995,2.502,14.587,16.663
-0.215,-0.309,0.843,-47.424,60.852,41.321
-0.23,-0.3,0.882,-37.659,37.231,38.147
-0.196,-0.233,0.953,-29.48,9.399,33.813
-0.143,-0.162,1.005,-26.917,-12.451,28.076
-0.063,-0.13,1.032,-28.015,-23.193,22.644
0.003,-0.142,1.031,-31.433,-22.034,19.165
0.047,-0.122,1,-33.997,-11.841,18.616
0.06,-0.09,0.949,-32.043,2.075,18.066
0.029,-0.074,0.927,-27.893,15.747,15.93
-0.018,-0.078,0.922,-23.315,21.545,15.442
-0.063,-0.084,0.934,-16.968,16.724,15.32
-0.105,-0.084,0.973,-10.437,6.226,14.526
-0.141,-0.089,1.029,-5.737,-4.517,12.878
-0.163,-0.101,1.092,-4.333,-11.902,10.315
-0.164,-0.127,1.123,-5.432,-12.085,6.409
-0.137,-0.146,1.129,-8.24,-4.578,2.563
-0.077,-0.095,1.074,-9.949,7.507,0.854
-0.019,-0.036,1.015,-7.69,19.958,1.343
0.007,-0.017,0.968,-5.676,28.32,1.038
0.036,-0.016,0.93,-5.005,28.381,0
0.024,-0.043,0.924,-5.554,18.066,1.404
-0.004,-0.066,0.93,-4.7,2.747,4.517
-0.044,-0.088,0.979,-3.967,-10.986,4.944
-0.094,-0.106,1.022,-4.028,-19.104,3.479
-0.125,-0.117,1.06,-3.967,-20.752,1.648
-0.141,-0.12,1.068,-5.31,-14.526,-0.305
0.033,-0.266,0.956,-2.93,-4.089,13.733
0.021,-0.246,0.955,-7.385,0.488,15.869
0.003,-0.214,0.939,-10.376,3.784,18.066
-0.034,-0.177,0.941,-12.817,6.47,18.005
-0.058,-0.17,0.935,-14.282,6.897,16.479
-0.069,-0.189,0.923,-15.869,3.723,15.32
-0.079,-0.213,0.906,-15.991,-1.709,15.625
-0.087,-0.229,0.9,-14.526,-5.432,15.198
-0.079,-0.255,0.906,-13.733,-5.615,12.39
-0.048,-0.275,0.921,-13.916,-3.479,10.071
-0.019,-0.262,0.917,-13.611,-1.099,10.315
0.01,-0.227,0.906,-12.451,3.601,12.207
0.022,-0.169,0.899,-10.315,9.277,15.015
0.007,-0.108,0.896,-7.385,13.733,18.738
-0.017,-0.067,0.887,-5.615,17.517,20.02
-0.052,-0.054,0.885,-5.737,18.738,18.921
-0.099,-0.063,0.889,-6.958,15.442,17.029
-0.134,-0.099,0.894,-9.094,9.46,13.489
-0.146,-0.149,0.914,-11.78,2.197,8.24
-0.139,-0.206,0.937,-13.672,-4.822,3.296
-0.101,-0.247,0.949,-15.137,-9.583,0.305
-0.038,-0.24,0.945,-14.526,-9.644,-1.099
0.032,-0.187,0.945,-11.841,-5.31,-1.526
0.085,-0.143,0.94,-9.033,0.732,-0.732
0.125,-0.103,0.929,-6.409,6.531,2.625
0.126,-0.073,0.925,-5.249,10.254,7.812
-0.071,-0.212,0.903,6.836,-15.381,2.625
-0.073,-0.218,0.909,7.996,-20.691,0.183
-0.082,-0.215,0.922,10.01,-24.658,-2.502
-0.085,-0.206,0.946,11.23,-26.611,-4.028
-0.07,-0.19,0.972,11.597,-26.917,-4.761
-0.057,-0.174,0.991,11.902,-26.611,-4.761
-0.052,-0.158,1.013,10.254,-25.513,-3.662
-0.053,-0.156,1.037,5.798,-23.01,-1.343
-0.053,-0.165,1.045,1.587,-18.616,0.427
-0.056,-0.173,1.042,-1.892,-13.184,1.404
-0.053,-0.181,1.025,-5.676,-8.179,2.136
-0.041,-0.181,0.999,-8.362,-4.333,2.38
-0.039,-0.19,0.968,-10.254,-1.892,2.38
-0.03,-0.187,0.931,-11.414,-0.488,2.869
-0.024,-0.173,0.91,-11.23,-0.061,3.357
-0.032,-0.174,0.887,-9.766,-0.244,2.686
-0.051,-0.175,0.877,-6.409,-0.854,1.77
-0.076,-0.181,0.875,-2.502,-1.587,1.404
-0.084,-0.182,0.887,0.488,-2.014,0.916
-0.082,-0.179,0.908,2.319,-2.258,1.77
-0.065,-0.161,0.907,3.723,-3.174,4.15
-0.052,-0.155,0.904,4.089,-2.869,6.042
-0.031,-0.12,0.885,3.357,-1.709,6.348
-0.013,-0.104,0.855,4.028,-0.244,5.92
-0.016,-0.114,0.846,4.517,0.977,4.7
-0.046,-0.137,0.842,5.737,0.854,3.906
-0.054,-0.169,0.983,1.16,10.437,23.621
-0.099,-0.147,0.98,1.404,19.836,24.048
-0.138,-0.15,0.966,0.122,23.499,24.475
-0.161,-0.155,0.95,-3.479,20.813,25.024
-0.17,-0.167,0.938,-9.033,14.099,24.597
-0.16,-0.185,0.931,-14.832,5.432,24.17
-0.143,-0.218,0.933,-20.142,-2.197,24.719
-0.119,-0.248,0.926,-23.621,-6.226,25.757
-0.078,-0.244,0.903,-24.048,-5.737,26.489
-0.046,-0.27,0.901,-22.278,-1.282,26.978
-0.018,-0.232,0.89,-19.165,5.066,28.687
-0.009,-0.219,0.875,-13.123,12.39,31.25
-0.025,-0.219,0.872,-7.507,19.043,33.569
-0.059,-0.204,0.864,-2.502,23.682,35.706
-0.092,-0.198,0.862,1.953,25.452,35.889
-0.117,-0.191,0.875,3.479,23.865,34.851
-0.141,-0.185,0.893,1.77,18.494,34.302
-0.152,-0.191,0.903,-0.977,11.353,32.776
-0.14,-0.188,0.911,-5.127,4.15,30.029
-0.099,-0.177,0.898,-9.46,-2.258,26.733
-0.051,-0.159,0.878,-13.977,-7.629,23.804
-0.005,-0.122,0.84,-17.944,-12.024,21.24
0.027,-0.108,0.813,-20.752,-14.954,19.897
0.029,-0.105,0.796,-22.217,-17.578,19.653
0.014,-0.107,0.782,-21.79,-18.921,19.531
-0.017,-0.117,0.792,-22.034,-20.691,18.738
0.069,-0.187,0.893,13.977,5.676,-4.211
0.085,-0.195,0.899,10.498,-8.85,-2.319
0.098,-0.202,0.927,6.531,-22.644,0.916
0.109,-0.202,0.952,2.686,-31.921,4.15
0.092,-0.235,1.009,-1.648,-35.889,6.836
0.091,-0.207,1.035,-4.822,-33.142,9.277
0.085,-0.21,1.057,-5.005,-23.804,11.292
0.079,-0.198,1.052,-4.822,-10.193,13.428
0.104,-0.168,1.017,-1.77,3.235,14.526
0.119,-0.152,0.969,2.808,14.404,13.611
0.118,-0.145,0.93,7.263,20.874,10.62
0.095,-0.14,0.91,8.362,20.752,7.935
0.068,-0.147,0.917,6.165,14.404,7.751
0.037,-0.178,0.951,1.587,2.625,9.399
-0.003,-0.213,0.991,-4.15,-11.292,12.207
-0.035,-0.233,1.004,-8.789,-22.583,13.794
-0.046,-0.263,1.022,-12.634,-26.611,13.062
-0.032,-0.249,1.028,-17.029,-23.071,11.658
0.004,-0.224,1.014,-17.761,-15.747,11.108
0.062,-0.172,0.969,-13.306,-8.789,11.047
0.128,-0.124,0.924,-8.057,-4.7,10.925
0.168,-0.097,0.908,-7.385,-4.333,11.658
0.171,-0.089,0.914,-11.78,-7.263,13.977
0.153,-0.094,0.916,-17.578,-11.963,16.724
0.115,-0.121,0.926,-22.339,-16.296,19.592
0.063,-0.145,0.949,-26.428,-18.25,22.766
-0.095,-0.195,0.953,-32.593,-6.47,0.549
-0.09,-0.217,0.919,-27.344,-4.028,-0.061
-0.081,-0.217,0.907,-18.799,-0.549,-0.61
-0.084,-0.215,0.9,-10.01,2.747,-0.427
-0.075,-0.213,0.923,-3.235,5.493,0.122
-0.06,-0.205,0.945,0.854,6.592,1.282
-0.054,-0.215,0.967,2.38,6.042,3.174
-0.044,-0.214,0.978,1.343,5.432,4.822
-0.015,-0.185,0.97,-0.488,6.653,5.127
-0.002,-0.147,0.955,-1.953,8.85,3.967
0,-0.122,0.945,-3.113,11.23,1.77
-0.002,-0.104,0.937,-4.456,13,-0.122
-0.016,-0.115,0.936,-5.981,13,-0.793
-0.031,-0.132,0.931,-6.958,9.644,-1.099
-0.037,-0.153,0.929,-6.958,3.723,-1.465
-0.038,-0.175,0.946,-6.958,-2.93,-1.343
-0.048,-0.215,0.969,-7.69,-10.071,-0.671
-0.048,-0.233,1,-8.362,-15.747,1.953
-0.047,-0.243,1.017,-8.423,-16.418,5.615
-0.049,-0.233,1.016,-7.751,-11.841,8.118
-0.024,-0.193,1.002,-4.456,-4.028,9.277
-0.009,-0.134,0.974,1.831,2.747,9.644
-0.004,-0.093,0.957,7.385,7.385,9.705
-0.012,-0.061,0.942,9.521,7.385,9.644
-0.036,-0.052,0.938,9.033,1.526,9.399
-0.06,-0.054,0.948,6.287,-7.019,8.911
-0.051,-0.187,0.935,-26.672,-10.254,10.315
