aX,aY,aZ,gX,gY,gZ
0.069,0.353,0.967,76.599,33.936,5.554
0.066,0.342,0.958,75.806,25.879,2.319
0.06,0.339,0.947,74.28,19.043,0.061
0.047,0.334,0.942,71.289,13.184,-1.343
0.028,0.329,0.944,67.444,9.705,-1.465
-0.077,0.505,0.778,120.117,56.03,-3.174
-0.015,0.49,0.769,118.286,62.256,0.183
0.038,0.481,0.758,114.502,61.401,1.587
0.063,0.477,0.766,108.887,53.223,0.916
0.065,0.474,0.766,103.577,41.809,-1.526
0.046,0.485,0.778,99.731,30.09,-4.944
0.015,0.483,0.797,97.229,20.447,-9.277
-0.026,0.473,0.83,96.68,14.16,-11.597
-0.069,0.441,0.865,96.863,13.916,-12.207
-0.073,0.423,0.895,97.473,20.142,-10.864
-0.049,0.407,0.904,98.511,29.663,-7.568
-0.007,0.389,0.902,98.45,38.452,-4.761
0.03,0.372,0.885,96.985,43.945,-2.502
0.072,0.375,0.873,93.689,43.701,0
0.097,0.372,0.859,89.661,39.856,2.136
0.093,0.371,0.852,85.876,33.875,4.456
0.071,0.375,0.856,82.153,27.405,5.432
0.057,0.384,0.856,79.895,23.804,4.639
0.052,0.395,0.853,79.895,20.996,2.38
0.042,0.396,0.864,81.299,17.395,-0.916
0.037,0.384,0.882,83.923,15.808,-4.089
0.041,0.368,0.893,87.097,16.785,-5.493
0.043,0.349,0.914,89.111,18.188,-5.493
0.045,0.318,0.929,89.294,19.714,-6.042
0.064,0.298,0.939,88.501,20.996,-6.348
0.084,0.273,0.938,86.06,20.569,-6.165
0.14,0.815,0.225,139.587,-18.86,-29.785
0.151,0.76,0.283,134.338,-23.376,-28.32
0.16,0.737,0.342,126.16,-27.649,-24.048
0.164,0.729,0.379,117.615,-29.541,-17.761
0.13,0.76,0.415,109.375,-30.518,-10.803
0.087,0.801,0.467,103.149,-29.846,-6.836
0.072,0.813,0.501,100.281,-25.33,-6.531
0.086,0.826,0.513,100.22,-18.494,-6.897
0.106,0.839,0.515,102.234,-12.207,-7.996
0.119,0.829,0.523,104.431,-8.85,-11.047
0.14,0.819,0.544,106.628,-6.958,-14.343
0.157,0.78,0.55,107.178,-4.7,-16.846
0.177,0.751,0.555,106.934,-2.197,-17.029
0.213,0.718,0.569,104.553,-1.709,-16.785
0.241,0.671,0.586,99.854,-3.357,-16.602
0.253,0.646,0.59,93.018,-5.554,-15.076
0.258,0.66,0.581,85.632,-8.301,-11.78
0.263,0.695,0.571,79.407,-11.353,-9.338
0.255,0.722,0.558,75.256,-14.221,-7.812
0.233,0.756,0.551,73.853,-17.029,-6.775
0.202,0.775,0.551,74.524,-18.433,-7.263
0.182,0.792,0.554,77.515,-17.639,-8.24
